"event_message","event_type","function_id","id","level","timestamp"
"shutdown","Shutdown","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","3a511f14-bd76-46d1-8cb2-6bb55c2069df","log","1741448677575985"
"[DEBUG] No words selected for 2025-03-27
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","d2bdb8fc-5b73-4b3c-b1bc-a2c47aac8092","log","1741448659528765"
"[DEBUG] No words to insert for date 2025-03-27
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","cd473aee-86a0-40c5-8f8b-63e60d071bc5","log","1741448659528541"
"[DEBUG] Total selected words: 0
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","5cafef8c-fa48-48e8-967f-458d0cb56b14","log","1741448659528267"
"[ERROR] Error fetching random words: {
  code: "PGRST100",
  details: 'unexpected "p" expecting "("',
  hint: null,
  message: '"failed to parse filter (not.in.pop fly,causal agent,hyperemesis gravidarum)" (line 1, column 8)'
}
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","1e3873e6-74b9-44db-bf45-6fe3c981f4f5","error","1741448659528039"
"[DEBUG] Selecting a word for difficulty level: advanced
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","f4cba61c-460a-4115-9f68-09a533676629","log","1741448659524268"
"[ERROR] Error fetching random words: {
  code: "PGRST100",
  details: 'unexpected "p" expecting "("',
  hint: null,
  message: '"failed to parse filter (not.in.pop fly,causal agent,hyperemesis gravidarum)" (line 1, column 8)'
}
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","4234cc6a-6ab8-4a18-b74e-c1ff8a1ff28b","error","1741448659524052"
"[DEBUG] Selecting a word for difficulty level: intermediate
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","170b950a-1051-42a8-8fd2-34b7e3135c80","log","1741448659520571"
"[ERROR] Error fetching random words: {
  code: "PGRST100",
  details: 'unexpected "p" expecting "("',
  hint: null,
  message: '"failed to parse filter (not.in.pop fly,causal agent,hyperemesis gravidarum)" (line 1, column 8)'
}
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","f171af8c-73ad-4fb4-8b27-15b181ae519c","error","1741448659520322"
"[DEBUG] Selecting a word for difficulty level: beginner
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","486b7033-cea2-401f-bdb7-303a5bcd2194","log","1741448659518550"
"[DEBUG] Found 3 recently used words to exclude
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","33016d90-564f-4ee8-abf1-1d812741d2e5","log","1741448659518386"
"[DEBUG] Checking for recently used words since 2025-02-25
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","3a759a27-140a-4a46-bf55-e37d80ffbfba","log","1741448654463980"
"[DEBUG] Found 0 existing words for date 2025-03-27
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","18bebc6d-0ab1-4374-bece-ea8520a14c02","log","1741448654463821"
"[DEBUG] selectWordsForDate called for date: 2025-03-27, force: true
","Log","3ed24482-2166-4b92-903e-d2f6c5c2ff9c","4a923e30-4a95-4d9b-b6cb-395b6180cd39","log","1741448654460477"
